Phoneme,InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,comments
˥˩̰,1,kore1280,kor,NA,NA,8,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,+,0,0,0,0,
˥ˀ,1,kore1280,kor,NA,NA,9,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,
˦,1,kore1280,kor,NA,NA,1.00E+01,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˦̰,1,kore1280,kor,NA,NA,11,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,+,0,0,0,0,
˦˥˩,1,kore1280,kor,NA,NA,12,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˦˨,1,kore1280,kor,NA,NA,13,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˦˨̰,1,kore1280,kor,NA,NA,14,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,+,0,0,0,0,
˦˨ˀ,1,kore1280,kor,NA,NA,15,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,
˦˩̤,1,kore1280,kor,NA,NA,16,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˧,1,kore1280,kor,NA,NA,17,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˧̤,1,kore1280,kor,NA,NA,18,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˧˥,1,kore1280,kor,NA,NA,1.90E+01,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˧˥˩,1,kore1280,kor,NA,NA,20,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˧˩,1,kore1280,kor,NA,NA,21,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˧˩̤,1,kore1280,kor,NA,NA,22,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˧˩˧̤,1,kore1280,kor,NA,NA,23,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˨,1,kore1280,kor,NA,NA,24,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨̤,1,kore1280,kor,NA,NA,25,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˨˥,1,kore1280,kor,NA,NA,26,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨˦,1,kore1280,kor,NA,NA,27,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨˧,1,kore1280,kor,NA,NA,2.80E+01,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨˩,1,kore1280,kor,NA,NA,29,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨˩̠,1,kore1280,kor,NA,NA,30,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˨˩̤,1,kore1280,kor,NA,NA,31,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˨˩ˀ,1,kore1280,kor,NA,NA,32,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,
˨˩̰ˀ,1,kore1280,kor,NA,NA,33,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,+,0,0,0,0,
˩,1,kore1280,kor,NA,NA,34,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˩˥,1,kore1280,kor,NA,NA,35,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˩˥˩,1,kore1280,kor,NA,NA,36,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˩˨,1,kore1280,kor,NA,NA,3.70E+01,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
˩˨̤,1,kore1280,kor,NA,NA,38,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,-,0,0,0,0,
˩ˀ,1,kore1280,kor,NA,NA,39,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,
a,1,kore1280,kor,NA,NA,40,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
ă,1,kore1280,kor,NA,NA,41,NA,FALSE,vowel,fake,0,-,+,+,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
ã,1,kore1280,kor,NA,NA,42,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
a̯,1,kore1280,kor,NA,NA,43,NA,FALSE,vowel,fake,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
a̤,1,kore1280,kor,NA,NA,44,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0,
ã̤,1,kore1280,kor,NA,NA,45,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0,
ḁ,1,kore1280,kor,NA,NA,4.60E+01,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,-,-,-,-,0,-,-,0,
a̰,1,kore1280,kor,NA,NA,47,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0,
ã̰,1,kore1280,kor,NA,NA,48,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0,
aː,1,kore1280,kor,NA,NA,49,NA,FALSE,vowel,fake,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
ãː,1,kore1280,kor,NA,NA,50,NA,FALSE,vowel,fake,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0,
a̤ː,1,kore1280,kor,NA,NA,51,NA,FALSE,vowel,fake,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0,
ã̤ː,1,kore1280,kor,NA,NA,52,NA,FALSE,vowel,fake,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0,
aːi̯,1,kore1280,kor,NA,NA,53,NA,FALSE,vowel,fake,0,-,"+,-",-,"+,-",-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
aːu̯,1,kore1280,kor,NA,NA,54,NA,FALSE,vowel,fake,0,-,"+,-",-,"+,-",-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
