"InventoryID","Glottocode","ISO6393","LanguageName","SpecificDialect","GlyphID","Phoneme","Allophones","Marginal","SegmentClass","Source","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","raisedLarynxEjective","loweredLarynxImplosive","click"
1,"kore1280","kor",NA,NA,"02E9+02E6","˩˦",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E6","˩˦",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E7","˩˧",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E7+02E9","˩˧˩",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E7+02E9","˩˧˩",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E8","˩˨",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02E8+0324","˩˨̤",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+","0","+","-","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02D0","˩ː",NA,"FALSE","tone","fake","+","0","0","-","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02D0","˩ː",NA,"FALSE","tone","fake","+","0","0","-","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02C0","˩ˀ",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","+","0","0","0","0"
1,"kore1280","kor",NA,NA,"02E9+02C0","˩ˀ",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","+","0","0","0","0"
1,"kore1280","kor",NA,NA,"2191+02E5","↑˥",NA,"FALSE","tone","fake","+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
